报警位置      报警最大值       报警异常比       报警确认比       丢帧率     报警区间


1010      99      26.4      100      0      任务2


1020      95      23.4      100      0      任务2


1030      97      23.4      60      0      任务2


1040      97      21      100      0      任务2


1050      99      29.6      100      0      任务2


1060      96      24.6      80      0      任务2


1070      96      25.2      100      0      任务2


1080      96      23.2      100      0      任务2


1090      97      25.6      100      0      任务2


1100      95      26.6      100      0      任务2


1110      99      26.2      100      0      任务2


1120      97      25.4      100      0      任务2


1130      98      29.4      100      0      任务2


1140      99      26.2      100      0      任务2


1150      99      24.2      100      0      任务2


1160      97      24.8      100      0      任务2


1170      96      24.2      100      0      任务2


1180      100      27      100      0      任务2


1190      98      26.8      100      0      任务2


1200      100      29      100      0      任务2


1210      94      25.4      100      0      任务2


1220      99      24.2      100      0      任务2


1230      100      23.2      100      0      任务2


1240      97      27.4      100      0      任务2


1250      99      22.4      100      0      任务2


1260      94      23.4      100      0      任务2


1270      98      24.4      100      0      任务2


1280      98      27.6      100      0      任务2


1290      97      26.8      100      0      任务2


1300      95      30.2      100      0      任务2


1310      100      28.2      100      0      任务2


1320      97      23.2      100      0      任务2


1330      97      24.2      100      0      任务2


1340      98      29.8      100      0      任务2


1350      97      25.8      100      0      任务2


1360      99      25.2      100      0      任务2


1370      97      22.6      100      0      任务2


1380      99      25.2      100      0      任务2


1390      98      25.6      100      0      任务2


1400      100      24.2      100      0      任务2


1410      95      24.8      100      0      任务2


1420      99      26.2      100      0      任务2


1430      97      22.8      100      0      任务2


1440      100      25.8      100      0      任务2


1450      97      29.8      100      0      任务2


1460      96      28.4      100      0      任务2


1470      100      24.8      100      0      任务2


1480      98      28      100      0      任务2


1490      98      27.6      100      0      任务2


1500      97      28.4      100      0      任务2


1510      93      26      100      0      任务2


1520      99      28.6      100      0      任务2


1530      100      26.2      100      0      任务2


1540      100      24.6      100      0      任务2


1550      97      28.6      100      0      任务2


1560      100      26.4      100      0      任务2


1570      97      25.4      100      0      任务2


1580      99      27.2      100      0      任务2


1590      98      24      100      0      任务2


1600      98      26.4      100      0      任务2


1610      95      25.4      100      0      任务2


1620      95      26.6      100      0      任务2


1630      96      28      100      0      任务2


1640      98      25.6      100      0      任务2


1650      99      24.2      100      0      任务2


1660      99      26.4      100      0      任务2


1670      100      25.4      100      0      任务2


1680      99      27.6      100      0      任务2


1690      96      27.8      100      0      任务2


1700      94      29.8      100      0      任务2


1710      100      26      100      0      任务2


1720      97      21.2      100      0      任务2


1730      99      28.4      100      0      任务2


1740      98      26.4      100      0      任务2


1750      98      29      100      0      任务2


1760      98      25.8      100      0      任务2


1770      97      27.4      100      0      任务2


1780      97      23      100      0      任务2


1790      98      24.6      100      0      任务2


1800      97      28.2      100      0      任务2


1810      98      23      100      0      任务2


1820      99      26.6      100      0      任务2


1830      97      26      100      0      任务2


1840      99      28.2      100      0      任务2


1850      98      27      100      0      任务2


1860      97      22.8      100      0      任务2


1870      96      27.6      100      0      任务2


1880      96      27.4      100      0      任务2


1890      95      24.8      100      0      任务2


1900      95      25      100      0      任务2


1910      93      26.8      100      0      任务2


1920      97      28.8      100      0      任务2


1930      97      23      80      0      任务2


1940      96      28      100      0      任务2


1950      97      23.2      100      0      任务2


1960      98      30.4      100      0      任务2


1970      95      26.2      100      0      任务2


1980      96      28.8      100      0      任务2


1990      98      27.4      100      0      任务2


2000      99      22.2      100      0      任务2


2010      98      26.6      100      0      任务2


2020      98      26.2      100      0      任务2


2030      97      27.6      100      0      任务2


2040      97      25.4      100      0      任务2


2050      96      25.2      100      0      任务2


2060      99      25.8      100      0      任务2


2070      98      22.4      100      0      任务2


